genre,word1,word2,pair_count,word1_count,word2_count,pmi
Law,JTRT/,KBD=/,5,5,5,5.8875252707415875
Law,JTRT/,KLJH/,5,5,5,5.8875252707415875
Law,JTRT/,KSL=/,5,5,5,5.8875252707415875
Law,KBD=/,KLJH/,5,5,5,5.8875252707415875
Law,KBD=/,KSL=/,5,5,5,5.8875252707415875
Law,KLJH/,KSL=/,5,5,5,5.8875252707415875
Law,JSWD/,QRN/,5,6,5,5.624490864907793
Law,>MH/,FMX[,4,5,6,5.302562770020431
Law,CNJM/,JTRT/,5,8,5,5.209453365628949
Law,CNJM/,KBD=/,5,8,5,5.209453365628949
Law,CNJM/,KLJH/,5,8,5,5.209453365628949
Law,CNJM/,KSL=/,5,8,5,5.209453365628949
Law,M<FR/,NDR/,3,5,5,5.150559676575381
Law,>YB</,QRN/,3,5,5,5.150559676575381
Law,>MH/,BT/,4,5,7,5.080170348683983
Law,>MH/,LWJ/,4,5,7,5.080170348683983
Law,CKN[,CM/,6,6,9,5.039528364186637
Law,<BD/,>MH/,5,9,5,5.039528364186637
Law,JTRT/,SWR[,5,5,9,5.039528364186637
Law,KBD=/,SWR[,5,5,9,5.039528364186637
Law,KLJH/,SWR[,5,5,9,5.039528364186637
Law,KSL=/,SWR[,5,5,9,5.039528364186637
Law,CPK[,QRN/,5,9,5,5.039528364186637
Law,SBJB/,ZRQ[,6,8,7,4.987060944292502
Law,M<FR/,TRWMH/,3,5,6,4.8875252707415875
Narrative,NB>[,NBJ>/,3,5,5,5.6519127446457835
Narrative,<ZB[,XWY/,4,8,5,5.388878338811989
Narrative,BFR/,PRH/,5,7,8,5.22537960652911
Narrative,BGD/,XWY/,4,9,5,5.218953337369677
Narrative,BFR/,MR>H/,3,7,5,5.1664859174755415
Narrative,KN/,RGL[,3,5,7,5.1664859174755415
Narrative,>SR[,SHR/,3,6,6,5.125843932978196
Narrative,BRJ>/,PRH/,4,6,8,5.125843932978196
Narrative,CBLT/,DQ/,4,8,6,5.125843932978196
Narrative,RWX/,YLX[,3,6,6,5.125843932978196
Narrative,>YL/,XWY/,2,5,5,5.0669502439246275
Narrative,MR>H/,PRH/,3,5,8,4.973840839533145
Narrative,BFR/,BRJ>/,3,7,6,4.903451511641747
Narrative,KTNT/,NKR[,2,5,6,4.803915838090833
Narrative,BGD/,SWR[,3,9,5,4.803915838090833
Narrative,>YL/,BGD/,3,5,9,4.803915838090833
Narrative,BRJ>/,MR>H/,2,6,5,4.803915838090833
Narrative,DQ/,MR>H/,2,6,5,4.803915838090833
Narrative,FB<==/,KLH[,2,6,5,4.803915838090833
Narrative,NB>[,RWX/,2,5,6,4.803915838090833
Narrative,NB>[,YLX[,2,5,6,4.803915838090833
Narrative,MCMR/,VBX=/,3,6,8,4.710806433699352
Narrative,<BD[,JR>[,3,6,8,4.710806433699352
Narrative,BMH/,NB>[,2,7,5,4.5815234167543855
Narrative,<ZB[,BGD/,4,8,9,4.54088143225704
Poetry_Wisdom,NKRJ/,ZR/,4,5,7,6.181329764714562
Poetry_Wisdom,CKB[,CNH=/,3,6,5,5.9886846867721655
Poetry_Wisdom,>B/,>M/,4,7,6,5.918295358880768
Poetry_Wisdom,C<R/,PTX/,4,6,7,5.918295358880768
Poetry_Wisdom,CNH/,JSP[,3,5,7,5.766292265435718
Poetry_Wisdom,CNH/,RBH[,2,5,5,5.666756591884804
Poetry_Wisdom,<PR/,XWY/,2,5,5,5.666756591884804
Poetry_Wisdom,PC</,RB=/,2,5,5,5.666756591884804
Poetry_Wisdom,JR>/,KBD[,2,5,5,5.666756591884804
Poetry_Wisdom,DRK[,LMD[,2,5,5,5.666756591884804
Poetry_Wisdom,HR/,QDC/,4,7,8,5.503257859601924
Poetry_Wisdom,>KL[,FB<[,2,6,5,5.403722186051009
Poetry_Wisdom,>CH/,NKRJ/,3,9,5,5.403722186051009
Poetry_Wisdom,CKX[,NYX/,3,9,5,5.403722186051009
Poetry_Wisdom,NYX/,STR[,2,5,6,5.403722186051009
Poetry_Wisdom,>KL[,XJH[,2,6,5,5.403722186051009
Poetry_Wisdom,C>WL/,JRD[,3,8,6,5.310612781659528
Poetry_Wisdom,BXR[,KSP/,3,6,8,5.310612781659528
Poetry_Wisdom,>WN=/,P<L[,4,8,8,5.310612781659528
Poetry_Wisdom,DM/,NQJ/,2,7,5,5.181329764714562
Poetry_Wisdom,BVX/,R<H/,2,6,6,5.140687780217216
Poetry_Wisdom,>ZN/,QCB[,4,8,9,5.140687780217216
Poetry_Wisdom,MYWH/,TWRH/,4,9,8,5.140687780217216
Poetry_Wisdom,PTJ/,XSR/,3,9,6,5.140687780217216
Poetry_Wisdom,>C/,>KL[,2,6,6,5.140687780217216
Prophecy,CJT/,CMJR/,6,6,6,6.048032696421802
Prophecy,>WR/,XCK/,5,8,5,5.632995197142958
Prophecy,CBV/,MVH/,4,7,5,5.503712180197991
Prophecy,R</,VWB/,5,7,7,5.3402134479151115
Prophecy,G>WN/,YWR/,3,6,5,5.3110671022555955
Prophecy,CTH[,JJN/,5,7,8,5.147568369972716
Prophecy,>DM/,CPL[,4,9,5,5.1411421008132825
Prophecy,<MD[,RGL/,2,5,5,4.989139007368233
Prophecy,>RB</,PC</,8,11,10,4.851635483618298
Prophecy,CLC/,PC</,8,11,10,4.851635483618298
Prophecy,>BJWN/,KSP/,2,5,6,4.7261046015344395
Prophecy,>BJWN/,DL/,2,5,6,4.7261046015344395
Prophecy,CPV[,JKX[,3,9,5,4.7261046015344395
Prophecy,>RB</,CLC/,8,11,11,4.7141319598683635
Prophecy,CJT/,CM,3,6,8,4.632995197142958
Prophecy,CM,CMJR/,3,8,6,4.632995197142958
Prophecy,MCPV/,YDQH/,7,13,9,4.569985399617157
Prophecy,M>S[,TWRH/,2,6,6,4.463070195700645
Prophecy,>L/,GBWR/,2,6,6,4.463070195700645
Prophecy,>RMWN/,XWMH/,3,11,5,4.436597984339454
Prophecy,HRG[,XRB/,3,5,11,4.436597984339454
Prophecy,GB<H/,HR/,4,5,15,4.404176506647077
Prophecy,CM,JRD[,2,8,5,4.3110671022555955
Prophecy,FN>[,NPC/,2,5,8,4.3110671022555955
Prophecy,CBV/,KRT[,2,7,6,4.2406777743641975
